,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"11,400","-50","-0.4","11,400","11,600","11,300","128,166","1,467,996,850","318,418,758,000","0.02","27,931,470"
,000030,우리은행,"15,550","-250","-1.6","15,750","15,800","15,500","1,224,541","19,147,342,450","10,511,800,000,000","0.54","676,000,000"
,000040,KR모터스,"682","37","5.7","649","690","645","1,527,065","1,031,427,254","81,676,092,894","0.00","119,759,667"
,000050,경방,"14,800","-250","-1.7","15,000","15,250","14,750","49,983","746,726,450","405,745,996,000","0.02","27,415,270"
,000060,메리츠화재,"20,550","-250","-1.2","20,800","21,000","20,450","194,114","4,016,137,600","2,267,445,900,000","0.12","110,338,000"
,000070,삼양홀딩스,"112,500","-2,500","-2.2","115,000","116,000","112,500","17,488","1,992,651,000","963,480,487,500","0.05","8,564,271"
,000075,삼양홀딩스우,"53,500","-500","-0.9","54,800","54,800","53,300","96","5,164,600","16,267,103,000","0.00","304,058"
,000080,하이트진로,"21,450","-50","-0.2","21,650","21,750","21,450","125,309","2,702,373,250","1,504,365,955,950","0.08","70,133,611"
,000087,하이트진로2우B,"17,300","50","0.3","17,500","17,500","17,200","435","7,510,450","19,551,387,400","0.00","1,130,138"
,000100,유한양행,"228,500","-2,000","-0.9","230,500","232,500","227,500","37,476","8,576,166,000","2,789,837,389,000","0.14","12,209,354"
,000105,유한양행우,"202,500","0","0.0","200,000","202,500","200,000","9","1,805,000","47,828,070,000","0.00","236,188"
,000120,CJ대한통운,"153,000","-4,000","-2.6","156,000","157,000","152,500","53,857","8,336,368,000","3,490,288,632,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"9,540","130","1.4","9,430","9,700","9,400","22,677","215,030,690","221,392,538,100","0.01","23,206,765"
,000145,하이트진로홀딩스우,"8,730","-130","-1.5","9,000","9,000","8,710","241","2,113,540","4,110,171,300","0.00","470,810"
,000150,두산,"120,000","-1,000","-0.8","121,500","121,500","118,500","45,459","5,475,011,000","2,303,760,360,000","0.12","19,198,003"
,000155,두산우,"75,700","-300","-0.4","75,900","76,400","75,400","2,230","169,756,100","333,918,301,800","0.02","4,411,074"
,000157,두산2우B,"75,700","200","0.3","75,500","75,800","74,500","211","15,783,500","74,616,354,500","0.00","985,685"
,000180,성창기업지주,"3,090","-30","-1.0","3,120","3,125","3,030","323,844","1,017,469,925","215,532,444,000","0.01","69,751,600"
,000210,대림산업,"85,200","-700","-0.8","86,600","88,700","85,000","461,642","39,957,608,800","2,964,960,000,000","0.15","34,800,000"
,000215,대림산업우,"33,750","-500","-1.5","34,650","34,700","33,650","12,070","413,388,300","128,250,000,000","0.01","3,800,000"
,000220,유유제약,"15,600","-150","-1.0","15,650","16,150","15,600","82,716","1,306,276,600","99,349,957,200","0.01","6,368,587"
,000225,유유제약1우,"7,700","20","0.3","7,550","7,830","7,550","6,517","50,201,210","8,727,680,500","0.00","1,133,465"
,000227,유유제약2우B,"18,800","-100","-0.5","18,600","18,800","18,600","725","13,545,950","3,084,704,000","0.00","164,080"
,000230,일동홀딩스,"14,950","-150","-1.0","15,250","15,250","14,900","7,620","113,750,850","156,829,925,200","0.01","10,490,296"
,000240,한국타이어월드와이드,"18,550","50","0.3","18,650","18,650","18,250","47,072","872,036,550","1,725,524,209,150","0.09","93,020,173"
,000250,삼천당제약,"44,350","-550","-1.2","45,300","46,400","44,350","231,477","10,464,036,300","980,392,806,550","0.05","22,105,813"
,000270,기아차,"33,900","850","2.6","33,300","34,250","33,300","2,148,729","73,077,754,800","13,741,817,463,300","0.70","405,363,347"
,000300,대유플러스,"1,060","20","1.9","1,055","1,075","1,020","636,695","665,585,870","93,407,757,560","0.00","88,120,526"
,000320,노루홀딩스,"16,150","-100","-0.6","16,400","16,600","15,900","13,650","220,823,150","214,652,088,650","0.01","13,291,151"
