,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"12,350","-200","-1.6","12,650","12,700","12,100","371,564","4,604,240,200","344,953,654,500","0.02","27,931,470"
,000030,우리은행,"15,100","150","1.0","15,000","15,300","14,950","1,368,440","20,628,358,000","10,207,600,000,000","0.52","676,000,000"
,000040,KR모터스,"620","-3","-0.5","625","639","594","804,579","502,186,666","74,250,993,540","0.00","119,759,667"
,000050,경방,"14,250","100","0.7","14,200","14,400","14,050","28,280","402,422,450","390,667,597,500","0.02","27,415,270"
,000060,메리츠화재,"20,700","550","2.7","20,250","20,700","20,200","146,173","3,000,437,400","2,283,996,600,000","0.12","110,338,000"
,000070,삼양홀딩스,"97,100","-600","-0.6","97,800","99,600","96,600","24,754","2,423,366,600","831,590,714,100","0.04","8,564,271"
,000075,삼양홀딩스우,"51,400","400","0.8","51,500","51,700","51,000","393","20,109,300","15,628,581,200","0.00","304,058"
,000080,하이트진로,"21,100","300","1.4","20,850","21,150","20,850","329,277","6,920,234,600","1,479,819,192,100","0.08","70,133,611"
,000087,하이트진로2우B,"17,150","50","0.3","17,250","17,250","17,150","986","16,954,150","19,381,866,700","0.00","1,130,138"
,000100,유한양행,"238,000","-14,000","-5.6","249,000","252,000","236,000","123,947","30,062,794,000","2,905,826,252,000","0.15","12,209,354"
,000105,유한양행우,"212,500","2,000","1.0","210,500","213,000","210,500","5","1,059,000","50,189,950,000","0.00","236,188"
,000120,CJ대한통운,"149,500","3,000","2.0","148,500","151,500","146,500","133,603","20,040,822,000","3,410,445,428,000","0.17","22,812,344"
,000140,하이트진로홀딩스,"9,690","60","0.6","9,700","9,700","9,570","3,902","37,508,910","224,873,552,850","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,180","350","4.0","8,830","9,180","8,730","128","1,130,490","4,322,035,800","0.00","470,810"
,000150,두산,"108,500","1,000","0.9","108,000","109,500","107,500","33,257","3,618,089,500","2,082,983,325,500","0.11","19,198,003"
,000155,두산우,"71,900","200","0.3","71,500","72,100","71,500","2,113","151,884,500","317,156,220,600","0.02","4,411,074"
,000157,두산2우B,"71,900","200","0.3","71,700","72,000","71,700","12","862,500","70,870,751,500","0.00","985,685"
,000180,성창기업지주,"2,740","0","0.0","2,765","2,765","2,725","59,476","162,548,665","191,119,384,000","0.01","69,751,600"
,000210,대림산업,"81,700","3,400","4.3","78,400","82,000","78,400","401,387","32,426,503,500","2,843,160,000,000","0.15","34,800,000"
,000215,대림산업우,"31,750","750","2.4","31,100","31,750","31,100","2,939","92,611,750","120,650,000,000","0.01","3,800,000"
,000220,유유제약,"17,500","-650","-3.6","18,250","18,450","17,400","168,746","3,024,683,700","111,450,272,500","0.01","6,368,587"
,000225,유유제약1우,"8,410","-400","-4.5","8,900","8,900","8,410","12,025","103,425,600","9,532,440,650","0.00","1,133,465"
,000227,유유제약2우B,"19,550","-150","-0.8","19,750","19,800","19,550","1,342","26,411,000","3,207,764,000","0.00","164,080"
