,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"12,250","-100","-0.8","12,550","12,600","12,150","260,021","3,221,768,600","342,160,507,500","0.02","27,931,470"
,000030,우리은행,"13,700","-150","-1.1","13,900","14,000","13,650","1,574,452","21,821,009,300","9,261,200,000,000","0.49","676,000,000"
,000040,KR모터스,"592","-4","-0.7","592","615","587","971,938","583,201,612","70,897,722,864","0.00","119,759,667"
,000050,경방,"14,250","-100","-0.7","14,300","14,350","14,150","21,584","307,541,400","390,667,597,500","0.02","27,415,270"
,000060,메리츠화재,"20,500","-200","-1.0","20,750","21,300","20,400","102,141","2,119,604,300","2,261,929,000,000","0.12","110,338,000"
,000070,삼양홀딩스,"97,300","-3,700","-3.7","100,500","101,500","96,600","24,554","2,414,265,700","833,303,568,300","0.04","8,564,271"
,000075,삼양홀딩스우,"51,000","-800","-1.5","51,800","52,100","50,800","444","22,759,100","15,506,958,000","0.00","304,058"
,000080,하이트진로,"22,350","-700","-3.0","23,050","23,150","22,200","263,882","5,948,097,750","1,567,486,205,850","0.08","70,133,611"
,000087,하이트진로2우B,"17,450","-200","-1.1","17,650","17,650","17,400","402","7,015,750","19,720,908,100","0.00","1,130,138"
,000100,유한양행,"228,000","3,000","1.3","223,500","230,000","223,000","73,915","16,880,519,000","2,783,732,712,000","0.15","12,209,354"
,000105,유한양행우,"190,000","-2,000","-1.0","193,000","193,000","190,000","20","3,857,000","44,875,720,000","0.00","236,188"
,000120,CJ대한통운,"136,000","-3,000","-2.2","140,000","140,500","135,500","46,748","6,406,232,500","3,102,478,784,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"9,800","-140","-1.4","9,950","9,960","9,760","6,805","67,206,140","227,426,297,000","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,090","20","0.2","9,060","9,140","8,900","313","2,816,880","4,279,662,900","0.00","470,810"
,000150,두산,"101,000","-1,500","-1.5","102,000","103,000","100,000","60,083","6,060,170,000","1,938,998,303,000","0.10","19,198,003"
,000155,두산우,"70,500","-200","-0.3","71,300","71,300","69,800","7,323","513,136,000","310,980,717,000","0.02","4,411,074"
,000157,두산2우B,"70,500","-1,300","-1.8","71,100","71,100","69,900","227","15,948,100","69,490,792,500","0.00","985,685"
,000180,성창기업지주,"2,735","20","0.7","2,725","2,765","2,720","117,317","321,049,190","190,770,626,000","0.01","69,751,600"
,000210,대림산업,"73,500","-700","-0.9","73,800","74,400","72,700","116,520","8,553,087,000","2,557,800,000,000","0.14","34,800,000"
,000215,대림산업우,"28,800","-50","-0.2","28,650","28,950","28,600","3,321","95,283,400","109,440,000,000","0.01","3,800,000"
,000220,유유제약,"17,400","-300","-1.7","17,800","17,850","17,050","205,928","3,589,221,000","110,813,413,800","0.01","6,368,587"
,000225,유유제약1우,"8,170","-100","-1.2","8,450","8,450","8,090","6,166","50,613,880","9,260,409,050","0.00","1,133,465"
