,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"11,550","-50","-0.4","11,550","11,700","11,450","87,395","1,010,445,600","322,608,478,500","0.02","27,931,470"
,000030,우리은행,"15,200","-250","-1.6","15,400","15,500","15,100","1,169,027","17,788,211,700","10,275,200,000,000","0.53","676,000,000"
,000040,KR모터스,"725","1","0.1","720","730","698","1,101,295","787,119,092","86,825,758,575","0.00","119,759,667"
,000050,경방,"14,450","150","1.0","14,350","14,450","14,150","22,759","326,052,500","396,150,651,500","0.02","27,415,270"
,000060,메리츠화재,"20,000","-300","-1.5","20,200","20,350","20,000","165,932","3,338,495,000","2,206,760,000,000","0.11","110,338,000"
,000070,삼양홀딩스,"117,500","-1,500","-1.3","119,000","119,500","115,500","18,709","2,203,455,000","1,006,301,842,500","0.05","8,564,271"
,000075,삼양홀딩스우,"55,000","-600","-1.1","55,900","55,900","54,000","286","15,548,600","16,723,190,000","0.00","304,058"
,000080,하이트진로,"21,000","50","0.2","20,950","21,050","20,900","113,569","2,383,798,000","1,472,805,831,000","0.08","70,133,611"
,000087,하이트진로2우B,"17,250","200","1.2","17,100","17,250","17,050","1,364","23,396,300","19,494,880,500","0.00","1,130,138"
,000100,유한양행,"238,500","5,000","2.1","234,500","239,000","234,000","46,086","10,937,994,000","2,911,930,929,000","0.15","12,209,354"
,000105,유한양행우,"205,000","1,000","0.5","206,000","206,000","203,000","6","1,225,000","48,418,540,000","0.00","236,188"
,000120,CJ대한통운,"162,000","500","0.3","162,500","163,500","160,500","31,313","5,074,930,000","3,695,599,728,000","0.19","22,812,344"
,000140,하이트진로홀딩스,"9,580","150","1.6","9,490","9,620","9,420","37,875","361,717,070","222,320,808,700","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,100","300","3.4","8,800","9,370","8,800","1,647","14,878,640","4,284,371,000","0.00","470,810"
,000150,두산,"117,500","500","0.4","117,000","117,500","115,500","21,615","2,520,871,000","2,255,765,352,500","0.12","19,198,003"
,000155,두산우,"78,000","100","0.1","78,300","78,300","77,600","1,449","112,774,000","344,063,772,000","0.02","4,411,074"
,000157,두산2우B,"78,000","100","0.1","78,900","78,900","76,300","226","17,461,900","76,883,430,000","0.00","985,685"
