,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"10,900","-100","-0.9","11,000","11,100","10,550","189,786","2,040,260,050","304,453,023,000","0.02","27,931,470"
,000030,우리은행,"15,650","50","0.3","15,650","15,700","15,550","725,984","11,356,397,950","10,579,400,000,000","0.55","676,000,000"
,000040,KR모터스,"714","-6","-0.8","718","725","701","609,373","435,830,436","85,508,402,238","0.00","119,759,667"
,000050,경방,"14,650","550","3.9","14,250","14,650","14,200","49,922","723,481,550","401,633,705,500","0.02","27,415,270"
,000060,메리츠화재,"20,650","-50","-0.2","20,600","20,900","20,400","172,121","3,563,263,750","2,278,479,700,000","0.12","110,338,000"
,000070,삼양홀딩스,"117,500","2,000","1.7","116,500","122,000","116,000","50,231","5,987,585,500","1,006,301,842,500","0.05","8,564,271"
,000075,삼양홀딩스우,"55,800","0","0.0","55,800","56,900","55,500","2,196","123,427,200","16,966,436,400","0.00","304,058"
,000080,하이트진로,"21,400","0","0.0","21,400","21,800","21,400","281,871","6,085,880,500","1,500,859,275,400","0.08","70,133,611"
,000087,하이트진로2우B,"17,450","100","0.6","17,300","17,450","17,250","1,621","28,047,050","19,720,908,100","0.00","1,130,138"
,000100,유한양행,"230,500","-1,000","-0.4","231,500","235,000","230,000","34,400","7,980,106,000","2,814,256,097,000","0.15","12,209,354"
,000105,유한양행우,"209,500","4,500","2.2","210,000","210,000","207,000","56","11,707,500","49,481,386,000","0.00","236,188"
,000120,CJ대한통운,"175,000","500","0.3","175,000","175,500","171,000","114,754","19,974,519,000","3,992,160,200,000","0.21","22,812,344"
,000140,하이트진로홀딩스,"9,460","20","0.2","9,440","9,490","9,430","10,249","96,816,210","219,535,996,900","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,010","20","0.2","9,100","9,100","8,920","3,299","29,703,300","4,241,998,100","0.00","470,810"
,000150,두산,"120,000","3,000","2.6","118,000","123,500","117,500","94,528","11,440,268,500","2,303,760,360,000","0.12","19,198,003"
,000155,두산우,"77,800","1,400","1.8","76,800","78,000","76,500","7,829","607,716,100","343,181,557,200","0.02","4,411,074"
,000157,두산2우B,"77,300","1,400","1.8","76,100","78,200","76,100","396","30,720,700","76,193,450,500","0.00","985,685"
,000180,성창기업지주,"3,295","-5","-0.2","3,300","3,350","3,240","686,903","2,258,017,875","229,831,522,000","0.01","69,751,600"
,000210,대림산업,"87,200","4,200","5.1","83,900","89,300","83,900","657,660","57,221,536,000","3,034,560,000,000","0.16","34,800,000"
,000215,대림산업우,"35,700","1,700","5.0","34,000","36,550","34,000","66,313","2,368,158,450","135,660,000,000","0.01","3,800,000"
