,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"12,150","-200","-1.6","12,300","12,300","11,850","315,272","3,805,328,450","339,367,360,500","0.02","27,931,470"
,000030,우리은행,"15,250","150","1.0","15,100","15,350","15,000","2,078,585","31,689,013,300","10,309,000,000,000","0.53","676,000,000"
,000040,KR모터스,"620","0","0.0","607","620","606","740,289","453,633,250","74,250,993,540","0.00","119,759,667"
,000050,경방,"14,550","300","2.1","14,250","14,850","14,250","56,053","819,355,100","398,892,178,500","0.02","27,415,270"
,000060,메리츠화재,"20,600","-100","-0.5","20,700","20,800","20,250","106,680","2,196,160,300","2,272,962,800,000","0.12","110,338,000"
,000070,삼양홀딩스,"102,000","4,900","5.0","97,000","102,500","96,500","41,972","4,209,748,800","873,555,642,000","0.04","8,564,271"
,000075,삼양홀딩스우,"51,900","500","1.0","50,800","52,400","50,800","904","46,806,200","15,780,610,200","0.00","304,058"
,000080,하이트진로,"20,900","-200","-1.0","21,000","21,100","20,800","241,110","5,043,133,100","1,465,792,469,900","0.08","70,133,611"
,000087,하이트진로2우B,"17,150","0","0.0","17,250","17,250","17,100","104","1,786,150","19,381,866,700","0.00","1,130,138"
,000100,유한양행,"241,000","3,000","1.3","238,500","242,500","231,000","108,544","25,858,150,500","2,942,454,314,000","0.15","12,209,354"
,000105,유한양행우,"209,000","-3,500","-1.6","205,000","209,000","204,000","60","12,351,500","49,363,292,000","0.00","236,188"
,000120,CJ대한통운,"150,500","1,000","0.7","150,000","151,500","145,000","97,546","14,602,013,500","3,433,257,772,000","0.18","22,812,344"
,000140,하이트진로홀딩스,"9,570","-120","-1.2","9,690","9,780","9,560","13,892","133,399,120","222,088,741,050","0.01","23,206,765"
,000145,하이트진로홀딩스우,"8,880","-300","-3.3","9,160","9,160","8,800","1,823","16,091,040","4,180,792,800","0.00","470,810"
,000150,두산,"111,500","3,000","2.8","109,000","112,500","107,500","64,176","7,148,312,500","2,140,577,334,500","0.11","19,198,003"
,000155,두산우,"72,000","100","0.1","71,800","72,300","71,600","5,263","379,284,600","317,597,328,000","0.02","4,411,074"
,000157,두산2우B,"72,000","100","0.1","71,900","72,100","71,900","13","935,500","70,969,320,000","0.00","985,685"
,000180,성창기업지주,"2,850","110","4.0","2,740","2,850","2,725","310,287","869,205,785","198,792,060,000","0.01","69,751,600"
,000210,대림산업,"82,700","1,000","1.2","81,700","83,500","81,300","432,375","35,709,226,700","2,877,960,000,000","0.15","34,800,000"
,000215,대림산업우,"32,000","250","0.8","31,800","32,100","31,300","7,146","226,809,750","121,600,000,000","0.01","3,800,000"
,000220,유유제약,"16,650","-850","-4.9","17,300","17,450","16,300","262,393","4,385,418,500","106,036,973,550","0.01","6,368,587"
,000225,유유제약1우,"8,050","-360","-4.3","8,490","8,580","7,900","20,836","169,804,070","9,124,393,250","0.00","1,133,465"
,000227,유유제약2우B,"18,900","-650","-3.3","19,500","19,500","18,800","2,637","50,214,800","3,101,112,000","0.00","164,080"
,000230,일동홀딩스,"14,900","-100","-0.7","15,000","15,050","14,850","13,200","196,882,050","156,305,410,400","0.01","10,490,296"
,000240,한국타이어월드와이드,"17,800","-150","-0.8","17,900","17,950","17,700","161,197","2,872,092,350","1,655,759,079,400","0.08","93,020,173"
,000250,삼천당제약,"46,200","-1,300","-2.7","47,500","48,400","44,900","540,931","25,083,083,450","1,021,288,560,600","0.05","22,105,813"
,000270,기아차,"31,200","-500","-1.6","31,550","31,650","31,200","927,700","29,064,189,050","12,647,336,426,400","0.65","405,363,347"
,000300,대유플러스,"902","-8","-0.9","910","924","871","1,104,821","994,344,222","79,484,714,452","0.00","88,120,526"
,000320,노루홀딩스,"15,150","250","1.7","14,850","15,250","14,600","29,278","439,015,900","201,360,937,650","0.01","13,291,151"
,000325,노루홀딩스우,"16,450","50","0.3","16,100","16,450","16,100","588","9,559,750","3,047,362,500","0.00","185,250"
,000370,한화손해보험,"7,490","-60","-0.8","7,560","7,570","7,420","173,265","1,293,248,330","874,374,473,350","0.04","116,738,915"
,000390,삼화페인트,"7,210","270","3.9","6,960","7,240","6,900","157,719","1,125,401,850","190,623,394,710","0.01","26,438,751"
,000400,롯데손해보험,"3,065","-40","-1.3","3,100","3,110","3,040","319,809","979,709,740","411,568,200,000","0.02","134,280,000"
,000430,대원강업,"4,390","70","1.6","4,380","4,390","4,320","65,894","287,279,430","272,180,000,000","0.01","62,000,000"
,000440,중앙에너비스,"29,400","-50","-0.2","29,500","29,500","29,000","723","21,104,500","36,615,524,400","0.00","1,245,426"
,000480,조선내화,"84,100","-100","-0.1","84,100","84,200","83,700","466","39,085,300","336,400,000,000","0.02","4,000,000"
,000490,대동공업,"8,330","540","6.9","7,890","8,600","7,840","780,809","6,477,138,480","197,655,989,300","0.01","23,728,210"
,000500,가온전선,"25,000","1,000","4.2","24,000","25,300","23,900","30,373","750,611,450","104,008,675,000","0.01","4,160,347"
,000520,삼일제약,"36,400","-8,700","-19.3","43,050","44,000","35,200","843,113","32,018,718,350","200,200,000,000","0.01","5,500,000"
,000540,흥국화재,"6,050","30","0.5","5,980","6,080","5,930","22,483","135,129,380","388,668,002,250","0.02","64,242,645"
,000545,흥국화재우,"5,330","-30","-0.6","5,300","5,370","5,250","3,627","19,103,460","4,093,440,000","0.00","768,000"
,000547,흥국화재2우B,"24,150","350","1.5","23,800","24,200","23,650","514","12,325,700","3,709,440,000","0.00","153,600"
,000590,CS홀딩스,"76,700","-100","-0.1","77,000","77,000","76,000","353","27,020,300","88,548,769,400","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"128,000","-2,000","-1.5","129,500","129,500","126,000","14,252","1,820,904,500","785,701,632,000","0.04","6,138,294"
,000650,천일고속,"90,200","200","0.2","90,700","90,800","89,400","891","80,265,100","128,915,644,000","0.01","1,429,220"
,000660,SK하이닉스,"87,900","3,300","3.9","85,800","88,200","85,300","5,901,782","513,551,826,600","63,991,407,883,500","3.28","728,002,365"
,000670,영풍,"848,000","1,000","0.1","847,000","855,000","845,000","1,991","1,691,201,000","1,562,049,920,000","0.08","1,842,040"
,000680,LS네트웍스,"3,180","35","1.1","3,160","3,200","3,145","18,508","58,654,930","250,593,590,880","0.01","78,803,016"
,000700,유수홀딩스,"7,020","-50","-0.7","7,100","7,100","6,940","27,081","189,676,190","182,813,520,240","0.01","26,041,812"
,000720,현대건설,"49,650","5,400","12.2","46,000","50,900","45,900","5,783,159","280,470,014,050","5,528,813,732,250","0.28","111,355,765"
,000725,현대건설우,"63,300","14,550","29.8","50,100","63,300","50,100","62,464","3,821,601,600","6,257,584,800","0.00","98,856"
,000760,이화산업,"19,450","300","1.6","19,750","19,750","19,100","972","18,719,000","54,460,000,000","0.00","2,800,000"
,000810,삼성화재,"267,000","1,500","0.6","264,500","268,000","264,500","46,757","12,479,184,500","12,649,081,479,000","0.65","47,374,837"
,000815,삼성화재우,"180,500","0","0.0","181,500","181,500","179,500","3,536","636,894,500","576,156,000,000","0.03","3,192,000"
,000850,화천기공,"51,600","-100","-0.2","51,700","52,100","51,400","2,090","107,882,700","113,520,000,000","0.01","2,200,000"
,000860,강남제비스코,"32,500","450","1.4","32,050","33,050","31,850","11,260","365,477,800","211,250,000,000","0.01","6,500,000"
,000880,한화,"40,100","0","0.0","39,950","40,650","39,700","387,575","15,648,038,350","3,005,845,273,500","0.15","74,958,735"
,000885,한화우,"20,000","0","0.0","19,900","20,350","19,250","1,737","34,643,700","9,585,880,000","0.00","479,294"
,00088K,한화3우B,"16,950","50","0.3","17,000","17,050","16,800","59,282","1,001,348,450","380,900,400,000","0.02","22,472,000"
