,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"10,800","0","0.0","10,850","11,300","10,650","485,972","5,295,373,200","301,659,876,000","0.02","27,931,470"
,000030,우리은행,"16,850","-100","-0.6","16,900","16,900","16,200","1,551,995","25,911,693,550","11,390,600,000,000","0.57","676,000,000"
,000040,KR모터스,"632","9","1.4","622","632","607","1,487,412","920,665,308","75,688,109,544","0.00","119,759,667"
,000050,경방,"14,500","-150","-1.0","14,500","14,650","14,000","27,297","391,888,250","397,521,415,000","0.02","27,415,270"
,000060,메리츠화재,"24,900","300","1.2","24,700","24,950","24,250","241,035","5,945,048,800","2,747,416,200,000","0.14","110,338,000"
,000070,삼양홀딩스,"121,500","-24,000","-16.5","139,500","142,000","119,500","331,859","42,528,102,500","1,040,558,926,500","0.05","8,564,271"
,000075,삼양홀딩스우,"57,900","-4,400","-7.1","60,500","60,800","57,100","15,031","883,230,300","17,604,958,200","0.00","304,058"
,000080,하이트진로,"23,000","-200","-0.9","23,250","23,250","22,800","215,531","4,941,226,950","1,613,073,053,000","0.08","70,133,611"
,000087,하이트진로2우B,"18,150","50","0.3","18,200","18,200","18,050","1,199","21,662,600","20,512,004,700","0.00","1,130,138"
,000100,유한양행,"233,000","-1,000","-0.4","234,000","234,500","228,000","70,741","16,400,555,000","2,844,779,482,000","0.14","12,209,354"
,000105,유한양행우,"191,000","2,500","1.3","188,500","191,000","186,500","38","7,144,500","45,111,908,000","0.00","236,188"
,000120,CJ대한통운,"145,000","500","0.4","145,500","146,500","142,000","131,108","18,914,166,000","3,307,789,880,000","0.17","22,812,344"
,000140,하이트진로홀딩스,"10,250","0","0.0","10,300","10,350","10,050","39,364","399,819,150","237,869,341,250","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,610","-150","-1.5","9,750","9,880","9,610","330","3,234,430","4,524,484,100","0.00","470,810"
,000150,두산,"118,500","0","0.0","117,500","119,000","114,500","48,017","5,624,626,000","2,274,963,355,500","0.11","19,198,003"
,000155,두산우,"73,400","100","0.1","73,100","73,400","72,000","4,459","323,290,200","323,772,831,600","0.02","4,411,074"
,000157,두산2우B,"72,000","-300","-0.4","72,300","72,300","71,000","423","30,175,300","70,969,320,000","0.00","985,685"
,000180,성창기업지주,"3,070","130","4.4","2,940","3,080","2,930","443,856","1,329,816,200","214,137,412,000","0.01","69,751,600"
,000210,대림산업,"81,300","-1,100","-1.3","82,500","82,600","80,600","342,073","27,820,015,200","2,829,240,000,000","0.14","34,800,000"
,000215,대림산업우,"32,100","50","0.2","32,050","32,200","31,700","8,720","278,905,200","121,980,000,000","0.01","3,800,000"
,000220,유유제약,"13,800","-300","-2.1","13,850","14,150","13,500","92,080","1,270,226,600","87,886,500,600","0.00","6,368,587"
,000225,유유제약1우,"7,040","-20","-0.3","7,060","7,090","6,910","2,983","20,856,010","7,979,593,600","0.00","1,133,465"
,000227,유유제약2우B,"19,400","-150","-0.8","19,150","19,400","19,000","1,397","26,773,300","3,183,152,000","0.00","164,080"
,000230,일동홀딩스,"15,950","-350","-2.2","16,300","16,450","15,100","42,583","688,530,050","167,320,221,200","0.01","10,490,296"
,000240,한국타이어월드와이드,"19,800","50","0.2","19,700","19,950","19,400","73,781","1,452,061,550","1,841,799,425,400","0.09","93,020,173"
,000250,삼천당제약,"39,750","-50","-0.1","38,500","40,700","38,250","402,334","15,889,167,250","878,706,066,750","0.04","22,105,813"
,000270,기아차,"34,650","450","1.3","33,900","34,700","33,250","1,682,466","57,552,314,900","14,045,839,973,550","0.70","405,363,347"
,000300,대유플러스,"703","-5","-0.7","706","710","694","263,330","184,081,788","61,948,729,778","0.00","88,120,526"
,000320,노루홀딩스,"16,250","50","0.3","16,200","16,450","16,050","14,612","237,471,300","215,981,203,750","0.01","13,291,151"
,000325,노루홀딩스우,"20,550","250","1.2","20,500","20,750","19,800","1,232","25,143,150","3,806,887,500","0.00","185,250"
,000370,한화손해보험,"9,050","-130","-1.4","9,100","9,230","8,920","360,324","3,265,668,980","1,056,487,180,750","0.05","116,738,915"
,000390,삼화페인트,"8,240","-130","-1.6","8,390","8,450","8,230","50,805","421,614,260","215,858,558,480","0.01","26,196,427"
