,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"12,050","-50","-0.4","12,200","12,350","11,800","406,559","4,893,760,450","336,574,213,500","0.02","27,931,470"
,000030,우리은행,"16,950","-100","-0.6","16,850","17,050","16,650","1,638,551","27,717,592,600","11,458,200,000,000","0.60","676,000,000"
,000040,KR모터스,"560","10","1.8","552","562","547","190,956","105,982,940","67,065,413,520","0.00","119,759,667"
,000050,경방,"14,400","-200","-1.4","14,550","14,650","14,200","28,994","416,650,450","394,779,888,000","0.02","27,415,270"
,000060,메리츠화재,"23,100","-150","-0.6","23,350","23,350","22,950","119,949","2,772,041,200","2,548,807,800,000","0.13","110,338,000"
,000070,삼양홀딩스,"116,000","1,000","0.9","113,500","118,500","113,500","24,928","2,899,458,500","993,455,436,000","0.05","8,564,271"
,000075,삼양홀딩스우,"55,500","500","0.9","55,400","55,500","55,000","196","10,836,500","16,875,219,000","0.00","304,058"
,000080,하이트진로,"22,350","-150","-0.7","22,600","22,600","22,150","172,621","3,862,641,320","1,567,486,205,850","0.08","70,133,611"
,000087,하이트진로2우B,"17,150","0","0.0","17,300","17,300","17,050","3,569","61,134,300","19,381,866,700","0.00","1,130,138"
,000100,유한양행,"212,500","-3,500","-1.6","215,500","217,000","211,500","39,161","8,338,778,000","2,594,487,725,000","0.14","12,209,354"
,000105,유한양행우,"185,000","0","0.0","185,000","185,000","185,000","14","2,590,000","43,694,780,000","0.00","236,188"
,000120,CJ대한통운,"135,000","-1,500","-1.1","135,500","137,000","132,500","48,394","6,553,675,500","3,079,666,440,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"9,530","-80","-0.8","9,610","9,640","9,520","25,322","242,035,600","221,160,470,450","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,270","50","0.5","9,220","9,270","9,210","111","1,023,870","4,364,408,700","0.00","470,810"
,000150,두산,"102,000","-1,500","-1.4","104,000","104,500","101,500","52,417","5,374,768,500","1,958,196,306,000","0.10","19,198,003"
,000155,두산우,"72,400","-100","-0.1","71,600","72,700","71,500","2,281","164,856,400","319,361,757,600","0.02","4,411,074"
,000157,두산2우B,"72,400","0","0.0","72,400","72,400","72,400","3","217,200","71,363,594,000","0.00","985,685"
,000180,성창기업지주,"2,735","-15","-0.6","2,750","2,795","2,720","124,296","339,599,555","190,770,626,000","0.01","69,751,600"
,000210,대림산업,"74,600","-900","-1.2","75,600","75,700","74,200","120,719","9,023,583,400","2,596,080,000,000","0.14","34,800,000"
,000215,대림산업우,"31,000","-600","-1.9","31,600","31,600","30,450","4,743","146,419,350","117,800,000,000","0.01","3,800,000"
,000220,유유제약,"13,600","-200","-1.4","14,000","14,050","13,600","85,783","1,183,854,250","86,612,783,200","0.00","6,368,587"
,000225,유유제약1우,"7,640","40","0.5","7,600","7,700","7,580","4,508","34,392,890","8,659,672,600","0.00","1,133,465"
,000227,유유제약2우B,"19,200","400","2.1","18,800","19,250","18,700","1,152","21,969,450","3,150,336,000","0.00","164,080"
,000230,일동홀딩스,"15,000","-200","-1.3","15,400","15,400","14,900","22,644","339,723,900","157,354,440,000","0.01","10,490,296"
,000240,한국타이어월드와이드,"19,900","150","0.8","19,650","20,050","19,500","98,398","1,938,328,850","1,851,101,442,700","0.10","93,020,173"
,000250,삼천당제약,"34,700","-700","-2.0","35,800","36,200","34,150","783,575","27,569,422,550","767,071,711,100","0.04","22,105,813"
,000270,기아차,"34,450","250","0.7","34,400","34,800","34,300","890,367","30,748,237,450","13,964,767,304,150","0.73","405,363,347"
,000300,대유플러스,"740","-14","-1.9","754","758","734","627,480","466,046,875","65,209,189,240","0.00","88,120,526"
,000320,노루홀딩스,"15,400","50","0.3","15,500","15,500","15,300","4,906","75,476,350","204,683,725,400","0.01","13,291,151"
,000325,노루홀딩스우,"18,700","-200","-1.1","18,900","19,150","18,600","601","11,328,850","3,464,175,000","0.00","185,250"
,000370,한화손해보험,"8,520","80","1.0","8,450","8,560","8,370","481,957","4,101,321,240","994,615,555,800","0.05","116,738,915"
,000390,삼화페인트,"7,510","50","0.7","7,510","7,530","7,450","19,381","144,824,820","198,555,020,010","0.01","26,438,751"
,000400,롯데손해보험,"3,285","-5","-0.2","3,320","3,335","3,130","713,665","2,292,766,505","441,109,800,000","0.02","134,280,000"
,000430,대원강업,"4,945","65","1.3","4,880","4,950","4,770","133,444","648,273,090","306,590,000,000","0.02","62,000,000"
,000440,중앙에너비스,"28,900","50","0.2","28,650","29,250","28,650","490","14,147,300","35,992,811,400","0.00","1,245,426"
,000480,조선내화,"84,400","-200","-0.2","84,200","84,600","83,700","302","25,363,400","337,600,000,000","0.02","4,000,000"
,000490,대동공업,"8,750","130","1.5","8,780","8,800","8,620","49,978","435,310,090","207,621,837,500","0.01","23,728,210"
,000500,가온전선,"22,650","-50","-0.2","22,600","22,850","22,500","9,762","220,830,050","94,231,859,550","0.00","4,160,347"
,000520,삼일제약,"16,100","-800","-4.7","17,200","17,300","15,750","275,023","4,460,315,650","88,550,000,000","0.00","5,500,000"
,000540,흥국화재,"6,180","-50","-0.8","6,250","6,310","5,900","62,473","381,873,300","397,019,546,100","0.02","64,242,645"
,000545,흥국화재우,"6,500","430","7.1","6,070","7,000","6,070","170,455","1,128,860,180","4,992,000,000","0.00","768,000"
,000547,흥국화재2우B,"30,000","1,700","6.0","28,700","30,900","28,700","32,190","961,550,800","4,608,000,000","0.00","153,600"
,000590,CS홀딩스,"76,300","0","0.0","76,300","76,600","76,100","245","18,717,800","88,086,976,600","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"136,000","-3,000","-2.2","137,500","139,000","136,000","9,957","1,362,659,500","834,807,984,000","0.04","6,138,294"
,000650,천일고속,"87,800","0","0.0","86,900","87,800","86,200","793","69,056,900","125,485,516,000","0.01","1,429,220"
,000660,SK하이닉스,"78,700","1,200","1.6","78,700","79,200","78,400","3,395,415","267,744,080,900","57,293,786,125,500","2.99","728,002,365"
,000670,영풍,"1,028,000","-15,000","-1.4","1,036,000","1,045,000","1,027,000","891","918,384,000","1,893,617,120,000","0.10","1,842,040"
,000680,LS네트웍스,"3,115","-70","-2.2","3,190","3,190","3,095","8,155","25,445,255","245,471,394,840","0.01","78,803,016"
,000700,유수홀딩스,"6,910","-20","-0.3","6,920","7,010","6,850","47,011","323,446,660","179,948,920,920","0.01","26,041,812"
,000720,현대건설,"39,150","-750","-1.9","39,950","40,100","39,100","593,937","23,349,854,050","4,359,578,199,750","0.23","111,355,765"
,000725,현대건설우,"48,900","-750","-1.5","49,550","49,550","48,900","51","2,497,050","4,834,058,400","0.00","98,856"
,000760,이화산업,"17,650","-200","-1.1","17,850","18,350","17,600","2,194","39,259,400","49,420,000,000","0.00","2,800,000"
,000810,삼성화재,"285,000","-5,000","-1.7","287,000","288,000","285,000","91,630","26,227,530,456","13,501,828,545,000","0.70","47,374,837"
,000815,삼성화재우,"192,000","500","0.3","192,500","194,000","189,500","4,719","906,100,000","612,864,000,000","0.03","3,192,000"
,000850,화천기공,"55,600","-300","-0.5","55,600","55,900","55,100","2,258","125,062,900","122,320,000,000","0.01","2,200,000"
,000860,강남제비스코,"34,400","-400","-1.2","34,900","34,900","34,100","4,367","149,761,800","223,600,000,000","0.01","6,500,000"
,000880,한화,"44,900","1,300","3.0","44,700","45,700","44,500","485,399","21,937,557,100","3,365,647,201,500","0.18","74,958,735"
,000885,한화우,"21,450","500","2.4","21,050","21,450","21,050","2,347","50,110,250","10,280,856,300","0.00","479,294"
,00088K,한화3우B,"18,050","350","2.0","17,750","18,350","17,750","94,486","1,711,803,350","405,619,600,000","0.02","22,472,000"
,000890,보해양조,"1,060","-10","-0.9","1,070","1,075","1,035","1,423,783","1,495,713,000","102,364,778,760","0.01","96,570,546"
,000910,유니온,"3,955","-30","-0.8","3,985","4,090","3,950","36,575","145,225,485","61,743,953,145","0.00","15,611,619"
,000950,전방,"19,850","300","1.5","19,900","19,900","19,550","1,033","20,390,750","33,348,000,000","0.00","1,680,000"
,000970,한국주철관,"9,650","-20","-0.2","9,890","9,890","9,580","7,098","68,471,980","220,024,825,000","0.01","22,800,500"
,000990,DB하이텍,"15,700","-350","-2.2","16,300","16,300","15,650","447,546","7,117,135,100","696,574,962,400","0.04","44,367,832"
,000995,DB하이텍1우,"35,000","-400","-1.1","35,400","36,250","34,950","87","3,060,850","3,931,060,000","0.00","112,316"
,001000,신라섬유,"3,145","-50","-1.6","3,230","3,250","3,140","322,955","1,029,291,100","76,352,863,300","0.00","24,277,540"
,001020,페이퍼코리아,"1,605","-90","-5.3","1,695","1,715","1,575","1,329,604","2,173,163,885","87,017,734,485","0.00","54,216,657"
,001040,CJ,"167,000","1,000","0.6","166,000","168,000","166,000","41,642","6,940,968,000","4,872,558,666,000","0.25","29,176,998"
,001045,CJ우,"72,100","-400","-0.6","73,400","73,400","71,900","2,335","168,349,000","162,962,078,300","0.01","2,260,223"
,001060,JW중외제약,"44,400","-450","-1.0","44,850","45,250","44,350","61,389","2,738,208,900","871,891,014,000","0.05","19,637,185"
,001065,JW중외제약우,"24,900","-100","-0.4","25,000","25,000","24,700","337","8,357,450","4,086,363,900","0.00","164,111"
,001067,JW중외제약2우B,"42,200","100","0.2","42,350","42,350","41,200","387","16,122,700","3,633,335,600","0.00","86,098"
,001070,대한방직,"12,850","0","0.0","12,800","12,900","12,700","2,741","34,912,750","68,105,000,000","0.00","5,300,000"
,001080,만호제강,"17,750","-350","-1.9","18,000","18,050","17,750","7,197","128,643,350","73,662,500,000","0.00","4,150,000"
,001120,LG상사,"27,650","-350","-1.2","28,050","28,200","27,650","124,170","3,457,210,300","1,071,714,000,000","0.06","38,760,000"
,001130,대한제분,"172,000","0","0.0","170,500","173,000","170,500","965","165,688,500","290,680,000,000","0.02","1,690,000"
,001140,국보,"10,950","350","3.3","10,700","11,150","10,550","25,537","277,127,650","18,421,228,800","0.00","1,682,304"
,001200,유진투자증권,"3,865","-35","-0.9","3,920","3,940","3,865","360,263","1,405,825,285","374,388,705,570","0.02","96,866,418"
,001210,금호전기,"7,580","180","2.4","7,420","7,580","7,400","12,021","90,482,010","52,423,666,580","0.00","6,916,051"
,001230,동국제강,"11,050","300","2.8","10,850","11,100","10,800","351,020","3,853,386,950","1,054,531,743,850","0.06","95,432,737"
,001250,GS글로벌,"3,670","-100","-2.6","3,805","3,840","3,645","696,080","2,575,494,510","302,898,913,880","0.02","82,533,764"
,001260,남광토건,"6,430","-90","-1.4","6,560","6,580","6,430","12,807","83,151,580","63,181,662,250","0.00","9,826,075"
,001270,부국증권,"28,450","0","0.0","28,400","28,500","28,250","56,101","1,595,834,750","295,023,256,700","0.02","10,369,886"
,001275,부국증권우,"23,200","50","0.2","23,300","23,300","22,950","110","2,545,700","69,600,000,000","0.00","3,000,000"
,001290,골든브릿지증권,"2,275","15","0.7","2,280","2,595","2,200","6,304,933","15,302,968,245","115,327,914,975","0.01","50,693,589"
,001340,백광산업,"2,870","20","0.7","2,875","2,890","2,830","69,056","197,964,575","128,915,828,090","0.01","44,918,407"
,001360,삼성제약,"4,375","-55","-1.2","4,435","4,460","4,320","872,905","3,822,554,700","189,352,436,875","0.01","43,280,557"
,001380,SG충방,"4,300","-145","-3.3","4,500","4,505","4,250","954,798","4,154,563,750","193,345,814,900","0.01","44,964,143"
,001390,KG케미칼,"24,050","750","3.2","23,500","24,250","23,300","116,039","2,781,914,600","299,010,956,400","0.02","12,432,888"
,001420,태원물산,"4,220","-85","-2.0","4,300","4,300","4,110","235,468","980,219,085","32,072,000,000","0.00","7,600,000"
,001430,세아베스틸,"28,000","450","1.6","27,500","28,150","27,500","26,018","724,295,300","1,004,139,332,000","0.05","35,862,119"
,001440,대한전선,"1,335","0","0.0","1,335","1,365","1,325","543,627","728,570,525","1,143,391,467,015","0.06","856,473,009"
,001450,현대해상,"41,300","-500","-1.2","42,100","42,450","41,250","149,507","6,217,585,100","3,692,220,000,000","0.19","89,400,000"
,001460,BYC,"291,000","500","0.2","290,500","291,000","286,500","712","204,827,000","181,762,965,000","0.01","624,615"
,001465,BYC우,"144,000","0","0.0","146,000","146,000","144,000","8","1,161,500","31,015,440,000","0.00","215,385"
,001470,삼부토건,"7,570","0","0.0","7,630","7,630","7,410","58,303","437,141,040","142,064,297,500","0.01","18,766,750"
,001500,현대차투자증권,"11,250","-200","-1.8","11,550","11,600","11,200","42,217","480,217,950","330,042,498,750","0.02","29,337,111"
,001510,SK증권,"1,205","0","0.0","1,220","1,225","1,200","1,636,856","1,981,762,885","385,741,191,055","0.02","320,117,171"
,001515,SK증권우,"3,620","-80","-2.2","3,705","3,730","3,600","34,960","128,100,050","14,163,300,680","0.00","3,912,514"
,001520,동양,"2,035","-15","-0.7","2,050","2,065","2,025","317,487","648,958,305","485,722,068,205","0.03","238,684,063"
,001525,동양우,"9,290","140","1.5","9,320","9,320","8,960","450","4,100,200","5,738,720,990","0.00","617,731"
,001527,동양2우B,"11,200","-50","-0.4","11,400","11,400","11,150","77","861,050","3,455,972,800","0.00","308,569"
,001529,동양3우B,"22,200","200","0.9","22,000","22,600","21,900","767","16,918,250","1,991,828,400","0.00","89,722"
,001530,동일방직,"51,800","-400","-0.8","52,300","52,400","51,800","1,729","89,941,900","120,993,714,800","0.01","2,335,786"
,001540,안국약품,"15,900","-400","-2.4","16,500","16,650","15,750","91,969","1,476,303,900","207,374,478,000","0.01","13,042,420"
,001550,조비,"11,900","-100","-0.8","12,000","12,000","11,800","7,388","87,430,200","60,028,847,900","0.00","5,044,441"
,001560,제일연마,"5,820","-60","-1.0","5,880","5,880","5,790","2,558","14,871,300","58,200,000,000","0.00","10,000,000"
,001570,금양,"2,750","-20","-0.7","2,785","2,785","2,685","93,494","255,799,460","118,614,771,000","0.01","43,132,644"
,001620,동국실업,"1,260","-20","-1.6","1,285","1,290","1,250","584,299","741,620,645","67,173,210,720","0.00","53,312,072"
,001630,종근당홀딩스,"75,000","-200","-0.3","75,300","75,900","74,300","7,737","579,669,800","375,739,575,000","0.02","5,009,861"
,001680,대상,"24,850","-200","-0.8","24,950","25,150","24,750","48,759","1,214,409,050","861,003,421,250","0.04","34,648,025"
,001685,대상우,"12,700","-100","-0.8","12,800","12,800","12,650","187","2,376,350","17,401,832,100","0.00","1,370,223"
,001720,신영증권,"59,200","0","0.0","58,700","59,600","58,700","1,978","116,823,600","555,665,230,400","0.03","9,386,237"
,001725,신영증권우,"53,600","300","0.6","53,400","53,700","53,400","272","14,577,400","378,081,696,800","0.02","7,053,763"
,001740,SK네트웍스,"6,010","-80","-1.3","6,110","6,130","6,010","509,194","3,077,005,550","1,491,607,758,470","0.08","248,187,647"
,001745,SK네트웍스우,"60,400","400","0.7","60,800","61,000","58,400","1,378","82,153,000","6,864,339,200","0.00","113,648"
,001750,한양증권,"7,700","-20","-0.3","7,760","7,760","7,660","10,083","77,899,120","98,009,711,800","0.01","12,728,534"
,001755,한양증권우,"8,850","30","0.3","8,850","8,850","8,850","1","8,850","4,646,250,000","0.00","525,000"
,001770,신화실업,"21,150","-500","-2.3","21,650","21,900","21,100","18,691","401,287,550","25,694,669,700","0.00","1,214,878"
,001780,알루코,"4,235","-215","-4.8","4,455","4,485","4,220","586,192","2,527,625,005","315,609,571,970","0.02","74,524,102"
,001790,대한제당,"22,550","0","0.0","22,700","22,700","22,500","2,910","65,663,850","199,342,045,100","0.01","8,840,002"
,001795,대한제당우,"12,950","0","0.0","13,000","13,000","12,950","20","259,500","8,395,174,200","0.00","648,276"
,001799,대한제당3우B,"22,750","200","0.9","22,750","22,750","22,750","5","113,750","2,949,674,000","0.00","129,656"
,001800,오리온홀딩스,"26,050","-150","-0.6","26,000","26,300","26,000","55,688","1,456,271,300","1,631,877,580,650","0.09","62,644,053"
,001810,무림SP,"3,150","-50","-1.6","3,220","3,230","3,120","77,505","245,824,560","69,733,125,000","0.00","22,137,500"
,001820,삼화콘덴서,"39,050","1,250","3.3","38,100","39,400","37,950","331,289","12,881,931,050","405,924,750,000","0.02","10,395,000"
,001840,이화공영,"5,490","180","3.4","5,310","5,980","5,270","5,605,224","31,705,063,440","108,733,622,400","0.01","19,805,760"
,001880,삼호,"14,350","-250","-1.7","14,800","14,800","14,200","6,965","99,657,300","217,829,642,100","0.01","15,179,766"
,001940,KISCO홀딩스,"66,000","-1,000","-1.5","67,500","70,900","65,100","9,524","637,994,100","243,888,216,000","0.01","3,695,276"
,002000,한국유리,"34,500","-450","-1.3","35,000","35,200","34,400","1,449","50,304,650","347,748,270,000","0.02","10,079,660"
,002005,한국유리우,"29,700","-850","-2.8","29,700","29,700","29,700","54","1,603,800","13,506,579,900","0.00","454,767"
,002020,코오롱,"55,200","-400","-0.7","55,600","55,800","55,000","30,103","1,664,281,300","665,777,412,000","0.03","12,061,185"
,002025,코오롱우,"25,200","-150","-0.6","25,450","25,500","25,150","2,748","69,514,850","27,125,028,000","0.00","1,076,390"
,002030,아세아,"115,500","500","0.4","114,500","115,500","114,000","2,735","313,456,500","253,063,272,000","0.01","2,191,024"
,002070,남영비비안,"7,120","-30","-0.4","7,100","7,150","7,060","9,282","65,913,230","48,899,768,400","0.00","6,867,945"
,002100,경농,"5,940","0","0.0","5,990","6,000","5,900","15,045","89,322,850","128,848,995,000","0.01","21,691,750"
,002140,고려산업,"2,820","-25","-0.9","2,850","2,870","2,805","63,577","179,206,760","70,329,178,500","0.00","24,939,425"
,002150,도화엔지니어링,"4,920","-20","-0.4","4,975","4,975","4,855","16,078","78,678,480","165,902,400,000","0.01","33,720,000"
,002170,삼양통상,"43,650","0","0.0","43,850","43,850","43,100","4,513","197,003,850","130,950,000,000","0.01","3,000,000"
,002200,수출포장,"18,600","-250","-1.3","18,450","18,900","18,400","6,848","127,765,750","74,400,000,000","0.00","4,000,000"
,002210,동성제약,"18,350","-500","-2.6","18,050","19,800","17,900","3,122,133","58,036,745,700","454,283,132,900","0.02","24,756,574"
,002220,한일철강,"23,800","-400","-1.6","24,050","24,200","23,800","3,617","86,588,900","48,552,000,000","0.00","2,040,000"
,002230,피에스텍,"5,780","-110","-1.9","5,930","5,950","5,690","214,367","1,239,040,410","113,688,224,540","0.01","19,669,243"
