,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"11,550","-50","-0.4","11,800","11,850","11,550","149,019","1,737,622,600","322,608,478,500","0.02","27,931,470"
,000030,우리은행,"14,900","150","1.0","14,950","15,100","14,850","1,246,659","18,658,865,050","10,072,400,000,000","0.53","676,000,000"
,000040,KR모터스,"568","-19","-3.2","594","594","560","645,522","370,752,487","68,023,490,856","0.00","119,759,667"
,000050,경방,"13,700","100","0.7","13,550","13,850","13,550","15,649","214,173,150","375,589,199,000","0.02","27,415,270"
,000060,메리츠화재,"21,450","150","0.7","21,350","21,550","21,050","217,111","4,616,578,250","2,366,750,100,000","0.12","110,338,000"
,000070,삼양홀딩스,"99,500","2,600","2.7","97,200","101,000","96,300","12,614","1,255,758,800","852,144,964,500","0.04","8,564,271"
,000075,삼양홀딩스우,"50,500","100","0.2","50,600","50,600","50,000","1,600","80,004,200","15,354,929,000","0.00","304,058"
,000080,하이트진로,"22,750","500","2.2","22,250","22,800","22,000","206,841","4,651,726,100","1,595,539,650,250","0.08","70,133,611"
,000087,하이트진로2우B,"17,500","100","0.6","17,550","17,550","17,350","389","6,776,800","19,777,415,000","0.00","1,130,138"
,000100,유한양행,"216,500","1,000","0.5","216,000","218,500","215,000","24,092","5,230,236,500","2,643,325,141,000","0.14","12,209,354"
,000105,유한양행우,"192,000","0","0.0","192,000","192,000","191,000","4","767,000","45,348,096,000","0.00","236,188"
,000120,CJ대한통운,"134,000","2,000","1.5","133,000","134,500","131,000","48,996","6,505,472,500","3,056,854,096,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"9,760","10","0.1","9,750","9,900","9,740","5,576","54,617,360","226,498,026,400","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,140","140","1.6","9,000","9,230","9,000","413","3,778,740","4,303,203,400","0.00","470,810"
,000150,두산,"107,000","1,500","1.4","106,500","108,000","106,000","49,784","5,325,887,500","2,054,186,321,000","0.11","19,198,003"
,000155,두산우,"72,800","500","0.7","72,800","72,900","72,600","1,767","128,547,900","321,126,187,200","0.02","4,411,074"
,000157,두산2우B,"71,900","0","0.0","72,200","72,200","71,600","91","6,528,200","70,870,751,500","0.00","985,685"
,000180,성창기업지주,"2,705","0","0.0","2,705","2,725","2,690","87,777","236,953,035","188,678,078,000","0.01","69,751,600"
,000210,대림산업,"74,100","2,600","3.6","71,800","74,500","71,800","175,141","12,935,484,900","2,578,680,000,000","0.13","34,800,000"
,000215,대림산업우,"29,350","650","2.3","28,800","29,500","28,800","8,582","251,465,300","111,530,000,000","0.01","3,800,000"
,000220,유유제약,"17,300","400","2.4","17,400","18,000","16,900","608,062","10,568,459,700","110,176,555,100","0.01","6,368,587"
,000225,유유제약1우,"8,470","100","1.2","8,480","8,710","8,350","20,815","177,032,130","9,600,448,550","0.00","1,133,465"
,000227,유유제약2우B,"20,500","150","0.7","20,600","20,900","20,350","3,831","78,847,950","3,363,640,000","0.00","164,080"
,000230,일동홀딩스,"15,200","400","2.7","14,850","15,200","14,750","5,745","86,180,400","159,452,499,200","0.01","10,490,296"
,000240,한국타이어월드와이드,"18,350","100","0.6","18,300","18,550","18,250","74,451","1,366,344,100","1,706,920,174,550","0.09","93,020,173"
,000250,삼천당제약,"40,100","1,650","4.3","39,850","40,600","39,200","438,897","17,505,925,300","886,443,101,300","0.05","22,105,813"
,000270,기아차,"31,750","300","1.0","31,350","32,300","31,350","995,268","31,756,436,350","12,870,286,267,250","0.67","405,363,347"
,000300,대유플러스,"704","-2","-0.3","707","714","698","267,538","188,074,409","62,036,850,304","0.00","88,120,526"
,000320,노루홀딩스,"14,900","100","0.7","14,800","15,000","14,800","5,980","88,703,800","198,038,149,900","0.01","13,291,151"
,000325,노루홀딩스우,"18,750","50","0.3","18,950","18,950","18,500","603","11,309,500","3,473,437,500","0.00","185,250"
,000370,한화손해보험,"8,430","20","0.2","8,440","8,500","8,360","123,036","1,039,831,580","984,109,053,450","0.05","116,738,915"
,000390,삼화페인트,"6,870","20","0.3","6,870","6,950","6,790","35,413","241,733,580","181,634,219,370","0.01","26,438,751"
,000400,롯데손해보험,"3,230","50","1.6","3,210","3,245","3,195","207,411","667,175,175","433,724,400,000","0.02","134,280,000"
,000430,대원강업,"4,565","125","2.8","4,470","4,650","4,450","50,036","227,624,745","283,030,000,000","0.01","62,000,000"
,000440,중앙에너비스,"29,150","300","1.0","28,950","29,700","28,650","977","28,198,450","36,304,167,900","0.00","1,245,426"
,000480,조선내화,"83,400","100","0.1","83,300","84,300","83,300","690","57,948,800","333,600,000,000","0.02","4,000,000"
,000490,대동공업,"7,590","20","0.3","7,700","7,800","7,470","40,523","308,890,110","180,097,113,900","0.01","23,728,210"
,000500,가온전선,"23,500","100","0.4","23,300","23,500","23,150","1,944","45,419,150","97,768,154,500","0.01","4,160,347"
,000520,삼일제약,"33,150","6,600","24.9","26,800","34,500","26,000","1,646,395","50,765,619,750","182,325,000,000","0.01","5,500,000"
,000540,흥국화재,"6,160","-170","-2.7","6,380","6,380","6,100","101,676","627,876,190","395,734,693,200","0.02","64,242,645"
,000545,흥국화재우,"5,650","90","1.6","5,550","5,830","5,550","3,365","18,782,490","4,339,200,000","0.00","768,000"
,000547,흥국화재2우B,"25,700","-50","-0.2","26,000","26,850","25,500","991","25,524,250","3,947,520,000","0.00","153,600"
,000590,CS홀딩스,"76,400","1,100","1.5","75,300","76,700","75,000","381","28,807,700","88,202,424,800","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"133,000","2,000","1.5","132,500","133,500","130,000","9,315","1,230,552,500","816,393,102,000","0.04","6,138,294"
,000650,천일고속,"90,700","-200","-0.2","91,300","91,300","90,700","1,651","150,151,800","129,630,254,000","0.01","1,429,220"
,000660,SK하이닉스,"81,400","-2,600","-3.1","84,700","84,800","80,100","7,184,488","590,162,643,500","59,259,392,511,000","3.10","728,002,365"
,000670,영풍,"921,000","4,000","0.4","927,000","930,000","917,000","1,416","1,302,078,000","1,696,518,840,000","0.09","1,842,040"
,000680,LS네트웍스,"3,095","0","0.0","3,085","3,100","3,065","4,709","14,515,810","243,895,334,520","0.01","78,803,016"
,000700,유수홀딩스,"7,410","-260","-3.4","7,690","7,780","7,360","148,176","1,110,072,160","192,969,826,920","0.01","26,041,812"
,000720,현대건설,"41,050","1,150","2.9","40,500","41,250","40,000","523,860","21,338,258,300","4,571,154,153,250","0.24","111,355,765"
,000725,현대건설우,"48,950","50","0.1","49,850","49,850","47,500","1,058","50,865,200","4,839,001,200","0.00","98,856"
,000760,이화산업,"18,400","-50","-0.3","18,450","19,700","18,350","2,753","51,428,700","51,520,000,000","0.00","2,800,000"
,000810,삼성화재,"274,500","-2,000","-0.7","275,000","276,500","273,000","53,846","14,764,638,500","13,004,392,756,500","0.68","47,374,837"
,000815,삼성화재우,"186,000","-1,000","-0.5","188,000","188,000","185,000","4,072","756,847,500","593,712,000,000","0.03","3,192,000"
,000850,화천기공,"53,200","100","0.2","53,100","53,300","52,700","2,649","140,088,100","117,040,000,000","0.01","2,200,000"
