,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"9,770","-180","-1.8","9,950","10,050","9,690","184,742","1,810,897,520","272,890,461,900","0.01","27,931,470"
,000030,우리은행,"16,650","350","2.2","16,350","16,750","16,300","2,697,968","44,869,741,900","11,255,400,000,000","0.58","676,000,000"
,000040,KR모터스,"325","0","0.0","0","0","0","0","0","61,186,294,000","0.00","188,265,520"
,000050,경방,"13,600","150","1.1","13,450","13,800","13,400","26,074","353,845,850","372,847,672,000","0.02","27,415,270"
,000060,메리츠화재,"23,150","150","0.6","22,900","23,300","22,900","130,795","3,021,039,000","2,554,324,700,000","0.13","110,338,000"
,000070,삼양홀딩스,"128,500","-500","-0.4","129,000","131,000","128,000","24,421","3,160,437,500","1,100,508,823,500","0.06","8,564,271"
,000075,삼양홀딩스우,"57,300","300","0.5","57,300","57,300","56,900","422","24,142,900","17,422,523,400","0.00","304,058"
,000080,하이트진로,"24,500","650","2.7","23,800","24,750","23,750","306,033","7,467,740,950","1,718,273,469,500","0.09","70,133,611"
,000087,하이트진로2우B,"18,250","50","0.3","18,250","18,250","18,100","592","10,771,500","20,625,018,500","0.00","1,130,138"
,000100,유한양행,"220,500","5,500","2.6","215,000","221,500","214,500","60,690","13,344,865,500","2,572,330,068,000","0.13","11,665,896"
,000105,유한양행우,"187,500","3,000","1.6","185,000","188,000","185,000","49","9,132,500","44,285,250,000","0.00","236,188"
,000120,CJ대한통운,"139,500","500","0.4","139,000","140,000","138,500","54,072","7,529,235,000","3,182,321,988,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"10,000","0","0.0","10,050","10,100","9,990","11,543","115,577,030","232,067,650,000","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,720","-20","-0.2","9,840","9,840","9,600","357","3,428,940","4,576,273,200","0.00","470,810"
,000150,두산,"119,000","4,000","3.5","115,500","120,000","114,500","66,454","7,803,744,000","2,284,562,357,000","0.12","19,198,003"
