,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"12,050","-100","-0.8","12,250","12,300","12,000","194,821","2,352,891,250","336,574,213,500","0.02","27,931,470"
,000030,우리은행,"15,850","-350","-2.2","16,000","16,100","15,750","1,980,664","31,440,660,250","10,714,600,000,000","0.55","676,000,000"
,000040,KR모터스,"579","0","0.0","578","581","572","236,999","136,743,401","69,340,847,193","0.00","119,759,667"
,000050,경방,"13,500","-100","-0.7","13,550","13,800","13,300","36,768","498,255,800","370,106,145,000","0.02","27,415,270"
,000060,메리츠화재,"21,850","-200","-0.9","22,300","22,300","21,450","300,676","6,527,104,550","2,410,885,300,000","0.12","110,338,000"
,000070,삼양홀딩스,"105,000","-1,500","-1.4","106,500","107,000","104,500","14,724","1,550,000,500","899,248,455,000","0.05","8,564,271"
,000075,삼양홀딩스우,"52,700","400","0.8","52,900","53,000","52,000","1,328","69,430,300","16,023,856,600","0.00","304,058"
,000080,하이트진로,"21,050","-250","-1.2","21,150","21,250","21,000","108,998","2,299,904,250","1,476,312,511,550","0.08","70,133,611"
,000087,하이트진로2우B,"17,150","0","0.0","17,150","17,150","17,050","876","14,978,700","19,381,866,700","0.00","1,130,138"
,000100,유한양행,"216,000","1,500","0.7","213,000","216,000","212,500","44,246","9,502,401,000","2,637,220,464,000","0.14","12,209,354"
,000105,유한양행우,"183,000","-2,000","-1.1","183,000","185,500","183,000","76","13,910,500","43,222,404,000","0.00","236,188"
,000120,CJ대한통운,"128,000","500","0.4","127,000","129,000","126,500","25,139","3,206,492,000","2,919,980,032,000","0.15","22,812,344"
,000140,하이트진로홀딩스,"9,630","-70","-0.7","9,700","9,730","9,610","4,790","46,121,500","223,481,146,950","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,050","0","0.0","9,200","9,200","9,030","264","2,400,790","4,260,830,500","0.00","470,810"
,000150,두산,"104,000","-1,500","-1.4","106,000","107,000","103,500","89,975","9,459,534,000","1,996,592,312,000","0.10","19,198,003"
,000155,두산우,"72,700","100","0.1","72,600","73,000","72,300","370","26,848,200","320,685,079,800","0.02","4,411,074"
,000157,두산2우B,"71,800","-100","-0.1","71,900","71,900","70,600","28","1,988,000","70,772,183,000","0.00","985,685"
,000180,성창기업지주,"2,840","-10","-0.4","2,850","2,870","2,820","150,110","425,728,050","198,094,544,000","0.01","69,751,600"
,000210,대림산업,"72,600","-1,900","-2.6","74,000","74,100","72,400","170,981","12,471,673,300","2,526,480,000,000","0.13","34,800,000"
,000215,대림산업우,"29,700","-750","-2.5","30,450","30,450","29,550","3,469","103,224,200","112,860,000,000","0.01","3,800,000"
,000220,유유제약,"19,450","2,850","17.2","19,600","20,900","17,900","6,597,539","126,879,895,050","123,869,017,150","0.01","6,368,587"
,000225,유유제약1우,"9,330","-380","-3.9","10,450","11,650","8,930","1,785,208","18,321,661,660","10,575,228,450","0.00","1,133,465"
,000227,유유제약2우B,"23,400","-900","-3.7","26,000","28,550","22,450","343,200","8,743,262,350","3,839,472,000","0.00","164,080"
,000230,일동홀딩스,"15,450","50","0.3","15,450","15,550","15,250","6,811","105,073,700","162,075,073,200","0.01","10,490,296"
,000240,한국타이어월드와이드,"19,250","-500","-2.5","19,450","19,750","19,200","68,580","1,325,249,100","1,790,638,330,250","0.09","93,020,173"
,000250,삼천당제약,"42,250","-1,700","-3.9","44,200","44,800","41,800","732,149","31,716,375,600","933,970,599,250","0.05","22,105,813"
,000270,기아차,"32,550","-300","-0.9","32,800","32,950","32,400","1,137,613","37,044,524,250","13,194,576,944,850","0.68","405,363,347"
,000300,대유플러스,"710","-26","-3.5","736","738","700","585,508","418,174,940","62,565,573,460","0.00","88,120,526"
,000320,노루홀딩스,"15,150","50","0.3","14,900","15,150","14,800","11,047","165,170,700","201,360,937,650","0.01","13,291,151"
,000325,노루홀딩스우,"19,500","50","0.3","19,700","19,700","19,200","381","7,379,150","3,612,375,000","0.00","185,250"
,000370,한화손해보험,"8,600","-30","-0.4","8,640","8,650","8,520","164,534","1,412,106,170","1,003,954,669,000","0.05","116,738,915"
,000390,삼화페인트,"7,290","-10","-0.1","7,350","7,350","7,250","31,907","232,240,790","192,738,494,790","0.01","26,438,751"
,000400,롯데손해보험,"3,490","-80","-2.2","3,575","3,580","3,480","355,730","1,249,167,585","468,637,200,000","0.02","134,280,000"
,000430,대원강업,"4,930","220","4.7","4,720","4,950","4,670","168,508","817,862,905","305,660,000,000","0.02","62,000,000"
,000440,중앙에너비스,"29,100","-50","-0.2","28,900","29,500","28,900","372","10,842,450","36,241,896,600","0.00","1,245,426"
,000480,조선내화,"84,200","100","0.1","84,100","84,900","83,700","1,234","103,863,000","336,800,000,000","0.02","4,000,000"
,000490,대동공업,"8,570","70","0.8","8,500","8,800","8,470","72,464","626,966,660","203,350,759,700","0.01","23,728,210"
,000500,가온전선,"23,300","-200","-0.8","23,450","23,450","23,000","3,165","73,822,050","96,936,085,100","0.00","4,160,347"
,000520,삼일제약,"22,100","-750","-3.3","22,500","22,650","21,500","393,262","8,697,900,450","121,550,000,000","0.01","5,500,000"
,000540,흥국화재,"6,300","-40","-0.6","6,380","6,440","6,230","98,285","618,538,180","404,728,663,500","0.02","64,242,645"
,000545,흥국화재우,"5,930","0","0.0","5,930","6,130","5,900","2,956","17,574,970","4,554,240,000","0.00","768,000"
,000547,흥국화재2우B,"27,000","-250","-0.9","27,000","27,900","26,800","1,804","48,951,150","4,147,200,000","0.00","153,600"
,000590,CS홀딩스,"74,500","300","0.4","74,200","74,500","73,900","631","46,865,600","86,008,909,000","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"129,500","-500","-0.4","128,500","130,000","128,000","12,582","1,625,380,500","794,909,073,000","0.04","6,138,294"
,000650,천일고속,"90,000","800","0.9","89,200","90,700","89,200","655","58,957,800","128,629,800,000","0.01","1,429,220"
,000660,SK하이닉스,"90,000","5,100","6.0","88,000","90,000","87,600","8,775,741","779,442,892,676","65,520,212,850,000","3.36","728,002,365"
,000670,영풍,"991,000","-4,000","-0.4","991,000","998,000","989,000","3,205","3,187,114,000","1,825,461,640,000","0.09","1,842,040"
,000680,LS네트웍스,"3,125","-5","-0.2","3,130","3,165","3,110","6,386","19,977,115","246,259,425,000","0.01","78,803,016"
,000700,유수홀딩스,"6,740","160","2.4","6,610","6,740","6,500","33,062","218,586,430","175,521,812,880","0.01","26,041,812"
,000720,현대건설,"41,600","-2,050","-4.7","43,200","43,500","41,250","1,166,353","48,949,663,200","4,632,399,824,000","0.24","111,355,765"
,000725,현대건설우,"50,000","-100","-0.2","50,100","50,100","50,000","741","37,054,900","4,942,800,000","0.00","98,856"
,000760,이화산업,"17,800","0","0.0","17,800","18,100","17,650","1,911","34,021,400","49,840,000,000","0.00","2,800,000"
,000810,삼성화재,"276,500","-4,000","-1.4","277,500","279,500","275,500","126,809","35,016,129,500","13,099,142,430,500","0.67","47,374,837"
,000815,삼성화재우,"188,000","-3,000","-1.6","191,000","191,000","187,500","3,091","582,166,000","600,096,000,000","0.03","3,192,000"
,000850,화천기공,"53,700","700","1.3","53,000","53,700","52,400","1,318","69,635,000","118,140,000,000","0.01","2,200,000"
