,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"10,550","450","4.5","10,150","10,850","10,150","496,024","5,261,484,250","294,677,008,500","0.02","27,931,470"
,000030,우리은행,"16,750","250","1.5","16,450","16,750","16,450","899,960","14,968,656,456","11,323,000,000,000","0.58","676,000,000"
,000040,KR모터스,"580","5","0.9","575","595","573","1,660,252","963,506,116","69,460,606,860","0.00","119,759,667"
,000050,경방,"13,700","-50","-0.4","13,750","13,900","13,700","21,125","290,483,000","375,589,199,000","0.02","27,415,270"
,000060,메리츠화재,"24,000","0","0.0","24,000","24,300","23,950","89,711","2,162,867,600","2,648,112,000,000","0.14","110,338,000"
,000070,삼양홀딩스,"125,000","1,000","0.8","123,500","127,000","123,000","22,775","2,862,305,000","1,070,533,875,000","0.05","8,564,271"
,000075,삼양홀딩스우,"57,300","-100","-0.2","57,200","57,400","57,100","594","34,032,000","17,422,523,400","0.00","304,058"
,000080,하이트진로,"22,900","-100","-0.4","22,950","23,100","22,450","349,609","7,978,100,000","1,606,059,691,900","0.08","70,133,611"
,000087,하이트진로2우B,"17,950","-100","-0.6","18,050","18,050","17,900","1,139","20,434,800","20,285,977,100","0.00","1,130,138"
,000100,유한양행,"222,000","-5,000","-2.2","225,000","227,500","222,000","30,713","6,896,508,500","2,589,828,912,000","0.13","11,665,896"
,000105,유한양행우,"186,000","-500","-0.3","186,500","186,500","186,000","2","372,500","43,930,968,000","0.00","236,188"
,000120,CJ대한통운,"135,000","1,000","0.8","133,500","136,000","133,500","26,553","3,588,033,500","3,079,666,440,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"9,920","30","0.3","9,950","9,980","9,880","4,785","47,459,110","230,211,108,800","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,500","40","0.4","9,460","9,500","9,460","1,044","9,917,690","4,472,695,000","0.00","470,810"
,000150,두산,"117,500","1,000","0.9","116,000","117,500","115,500","59,838","6,983,799,000","2,255,765,352,500","0.12","19,198,003"
,000155,두산우,"73,300","300","0.4","72,700","73,300","72,500","1,146","83,526,900","323,331,724,200","0.02","4,411,074"
,000157,두산2우B,"71,700","-100","-0.1","71,800","71,800","71,500","13","930,300","70,673,614,500","0.00","985,685"
,000180,성창기업지주,"2,710","35","1.3","2,675","2,730","2,675","367,124","995,763,745","189,026,836,000","0.01","69,751,600"
,000210,대림산업,"85,600","1,600","1.9","84,000","85,800","83,800","197,930","16,861,267,900","2,978,880,000,000","0.15","34,800,000"
,000215,대림산업우,"33,800","400","1.2","33,150","33,900","33,150","5,907","198,550,000","128,440,000,000","0.01","3,800,000"
,000220,유유제약,"13,300","100","0.8","13,100","14,400","13,100","430,915","5,968,037,100","84,702,207,100","0.00","6,368,587"
,000225,유유제약1우,"6,880","170","2.5","6,760","7,050","6,760","23,010","158,676,040","7,798,239,200","0.00","1,133,465"
,000227,유유제약2우B,"18,450","200","1.1","18,250","20,000","18,250","6,484","123,305,400","3,027,276,000","0.00","164,080"
,000230,일동홀딩스,"15,150","50","0.3","15,200","15,200","15,000","9,106","137,423,650","158,927,984,400","0.01","10,490,296"
,000240,한국타이어월드와이드,"19,450","-50","-0.3","19,500","19,700","19,300","78,354","1,526,708,550","1,809,242,364,850","0.09","93,020,173"
,000250,삼천당제약,"27,900","50","0.2","28,000","28,400","27,450","317,638","8,856,834,100","616,752,182,700","0.03","22,105,813"
,000270,기아차,"34,050","1,350","4.1","32,650","34,250","32,650","1,814,883","61,279,909,800","13,802,621,965,350","0.71","405,363,347"
,000300,대유플러스,"667","2","0.3","670","671","658","383,998","255,361,112","58,776,390,842","0.00","88,120,526"
,000320,노루홀딩스,"15,500","-50","-0.3","15,600","15,600","15,050","17,235","264,359,300","206,012,840,500","0.01","13,291,151"
,000325,노루홀딩스우,"20,450","650","3.3","19,750","21,300","19,100","1,514","30,037,100","3,788,362,500","0.00","185,250"
,000370,한화손해보험,"8,850","140","1.6","8,770","8,850","8,650","191,113","1,669,205,400","1,033,139,397,750","0.05","116,738,915"
,000390,삼화페인트,"7,610","440","6.1","7,170","9,090","7,130","1,610,699","13,465,079,310","199,354,809,470","0.01","26,196,427"
,000400,롯데손해보험,"3,770","140","3.9","3,600","3,795","3,560","1,154,212","4,273,991,545","506,235,600,000","0.03","134,280,000"
,000430,대원강업,"3,810","0","0.0","3,850","3,850","3,780","8,789","33,568,425","236,220,000,000","0.01","62,000,000"
,000440,중앙에너비스,"27,850","-200","-0.7","28,000","28,450","27,800","347","9,690,000","34,685,114,100","0.00","1,245,426"
,000480,조선내화,"86,000","300","0.4","85,400","86,000","85,300","202","17,288,600","344,000,000,000","0.02","4,000,000"
,000490,대동공업,"9,850","0","0.0","9,970","9,970","9,800","55,637","548,724,960","233,722,868,500","0.01","23,728,210"
,000500,가온전선,"22,800","200","0.9","22,750","22,900","22,500","3,773","85,640,150","94,855,911,600","0.00","4,160,347"
,000520,삼일제약,"9,700","-30","-0.3","9,770","9,800","9,580","40,472","392,495,400","53,350,000,000","0.00","5,500,000"
,000540,흥국화재,"6,350","-10","-0.2","6,360","6,440","6,150","68,344","432,147,110","407,940,795,750","0.02","64,242,645"
,000545,흥국화재우,"5,380","50","0.9","5,370","5,400","5,270","6,579","35,075,120","4,131,840,000","0.00","768,000"
,000547,흥국화재2우B,"22,600","200","0.9","22,500","22,600","22,150","2,913","65,184,100","3,471,360,000","0.00","153,600"
,000590,CS홀딩스,"78,600","-300","-0.4","78,100","79,000","77,800","380","29,691,300","90,742,285,200","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"150,000","-7,500","-4.8","157,500","159,000","149,500","57,370","8,824,611,000","920,734,200,000","0.05","6,138,228"
