,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"9,950","40","0.4","10,000","10,150","9,940","158,326","1,583,538,340","277,918,126,500","0.01","27,931,470"
,000030,우리은행,"16,300","550","3.5","15,850","16,350","15,800","2,056,140","33,145,450,650","11,018,800,000,000","0.57","676,000,000"
,000040,KR모터스,"325","0","0.0","0","0","0","0","0","61,186,294,000","0.00","188,265,520"
,000050,경방,"13,450","-100","-0.7","13,700","13,700","13,300","27,666","372,719,050","368,735,381,500","0.02","27,415,270"
,000060,메리츠화재,"23,000","-250","-1.1","23,200","23,200","22,950","111,546","2,568,361,300","2,537,774,000,000","0.13","110,338,000"
,000070,삼양홀딩스,"129,000","-500","-0.4","130,000","133,000","128,000","27,296","3,569,981,500","1,104,790,959,000","0.06","8,564,271"
,000075,삼양홀딩스우,"57,000","400","0.7","56,900","57,900","56,600","2,779","158,920,300","17,331,306,000","0.00","304,058"
,000080,하이트진로,"23,850","-550","-2.2","24,400","24,700","23,850","172,439","4,133,225,950","1,672,686,622,350","0.09","70,133,611"
,000087,하이트진로2우B,"18,200","-100","-0.6","18,300","18,300","18,050","573","10,404,400","20,568,511,600","0.00","1,130,138"
,000100,유한양행,"215,000","-2,500","-1.2","217,500","218,000","214,000","34,566","7,458,789,000","2,508,167,640,000","0.13","11,665,896"
,000105,유한양행우,"184,500","-2,000","-1.1","184,500","184,500","182,500","17","3,115,000","43,576,686,000","0.00","236,188"
,000120,CJ대한통운,"139,000","-2,500","-1.8","142,500","142,500","139,000","35,192","4,921,762,000","3,170,915,816,000","0.16","22,812,344"
,000140,하이트진로홀딩스,"10,000","-50","-0.5","10,000","10,100","9,970","6,200","62,197,160","232,067,650,000","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,740","60","0.6","9,680","9,790","9,680","160","1,553,840","4,585,689,400","0.00","470,810"
,000150,두산,"115,000","-2,500","-2.1","118,500","118,500","113,000","98,178","11,259,133,500","2,207,770,345,000","0.11","19,198,003"
,000155,두산우,"70,800","-1,500","-2.1","71,800","72,900","70,600","7,554","536,264,400","312,304,039,200","0.02","4,411,074"
,000157,두산2우B,"71,800","100","0.1","72,300","72,300","70,000","70","4,939,500","70,772,183,000","0.00","985,685"
,000180,성창기업지주,"2,645","0","0.0","2,650","2,670","2,630","67,018","177,240,235","184,492,982,000","0.01","69,751,600"
,000210,대림산업,"85,000","800","1.0","84,300","86,100","82,900","158,269","13,432,241,300","2,958,000,000,000","0.15","34,800,000"
,000215,대림산업우,"34,600","300","0.9","34,000","34,600","33,500","12,409","421,423,650","131,480,000,000","0.01","3,800,000"
,000220,유유제약,"11,750","-250","-2.1","12,000","12,100","11,700","53,895","636,402,800","74,830,897,250","0.00","6,368,587"
,000225,유유제약1우,"6,640","10","0.2","6,630","6,650","6,520","5,432","35,899,580","7,526,207,600","0.00","1,133,465"
,000227,유유제약2우B,"18,750","50","0.3","18,500","18,850","18,450","1,036","19,400,800","3,076,500,000","0.00","164,080"
,000230,일동홀딩스,"14,950","-100","-0.7","15,350","15,350","14,850","10,897","163,307,000","156,829,925,200","0.01","10,490,296"
,000240,한국타이어월드와이드,"18,650","150","0.8","18,450","18,900","18,450","50,364","940,691,500","1,734,826,226,450","0.09","93,020,173"
,000250,삼천당제약,"21,800","1,500","7.4","20,700","23,500","20,150","1,763,377","38,129,815,650","481,906,723,400","0.02","22,105,813"
,000270,기아차,"32,400","450","1.4","31,900","32,400","31,850","807,776","26,028,984,550","13,133,772,442,800","0.68","405,363,347"
,000300,대유플러스,"708","-10","-1.4","726","726","703","166,050","118,566,480","62,389,332,408","0.00","88,120,526"
,000320,노루홀딩스,"16,050","50","0.3","16,200","16,200","15,950","8,800","141,230,650","213,322,973,550","0.01","13,291,151"
,000325,노루홀딩스우,"19,800","-250","-1.2","19,800","20,250","19,800","85","1,686,500","3,667,950,000","0.00","185,250"
,000370,한화손해보험,"7,920","-160","-2.0","8,010","8,130","7,910","304,150","2,421,897,600","924,572,206,800","0.05","116,738,915"
,000390,삼화페인트,"7,280","-20","-0.3","7,310","7,340","7,240","9,186","67,018,450","190,709,988,560","0.01","26,196,427"
,000400,롯데손해보험,"2,895","-5","-0.2","2,900","2,910","2,875","376,311","1,087,127,165","388,740,600,000","0.02","134,280,000"
,000430,대원강업,"3,725","85","2.3","3,650","4,100","3,640","305,898","1,171,079,770","230,950,000,000","0.01","62,000,000"
,000440,중앙에너비스,"28,350","-100","-0.4","28,450","28,450","28,050","851","23,902,250","35,307,827,100","0.00","1,245,426"
,000480,조선내화,"85,900","300","0.4","85,400","86,000","85,100","570","48,640,600","343,600,000,000","0.02","4,000,000"
,000490,대동공업,"10,650","-200","-1.8","10,900","10,900","10,300","366,101","3,902,560,950","252,705,436,500","0.01","23,728,210"
,000500,가온전선,"21,700","-250","-1.1","21,750","21,850","21,600","2,082","45,059,550","90,279,529,900","0.00","4,160,347"
,000520,삼일제약,"8,650","-40","-0.5","8,720","8,750","8,600","12,374","106,719,680","47,575,000,000","0.00","5,500,000"
,000540,흥국화재,"5,360","0","0.0","5,290","5,450","5,290","55,363","297,054,800","344,340,577,200","0.02","64,242,645"
,000545,흥국화재우,"5,090","10","0.2","5,090","5,110","5,030","3,800","19,261,090","3,909,120,000","0.00","768,000"
,000547,흥국화재2우B,"22,350","-100","-0.4","22,500","22,500","22,200","2,307","51,547,550","3,432,960,000","0.00","153,600"
,000590,CS홀딩스,"79,600","-500","-0.6","80,700","80,700","79,200","409","32,650,100","91,896,767,200","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"134,000","3,000","2.3","131,500","134,500","129,500","32,127","4,269,178,500","822,522,552,000","0.04","6,138,228"
,000650,천일고속,"90,500","-500","-0.6","93,600","93,600","90,200","2,310","209,614,900","129,344,410,000","0.01","1,429,220"
,000660,SK하이닉스,"78,200","-1,100","-1.4","79,500","80,000","77,400","2,960,495","231,534,855,000","56,929,784,943,000","2.94","728,002,365"
,000670,영풍,"1,083,000","0","0.0","1,085,000","1,095,000","1,073,000","856","927,917,000","1,994,929,320,000","0.10","1,842,040"
,000680,LS네트웍스,"3,020","5","0.2","3,000","3,025","2,980","14,725","44,176,160","237,985,108,320","0.01","78,803,016"
