,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"10,050","50","0.5","10,150","10,750","10,000","588,716","6,079,802,700","280,711,273,500","0.02","27,931,470"
,000030,우리은행,"15,600","-550","-3.4","16,300","16,350","15,600","1,720,979","27,452,378,400","10,545,600,000,000","0.57","676,000,000"
,000040,KR모터스,"576","-14","-2.4","610","610","576","565,529","331,609,604","68,981,568,192","0.00","119,759,667"
,000050,경방,"14,050","150","1.1","13,800","14,250","13,750","31,800","445,953,400","385,184,543,500","0.02","27,415,270"
,000060,메리츠화재,"23,900","-350","-1.4","24,300","24,450","23,900","88,509","2,136,227,550","2,637,078,200,000","0.14","110,338,000"
,000070,삼양홀딩스,"115,000","-1,500","-1.3","118,000","123,000","115,000","54,393","6,454,980,000","984,891,165,000","0.05","8,564,271"
,000075,삼양홀딩스우,"55,900","-300","-0.5","56,500","57,000","55,600","1,183","66,398,400","16,996,842,200","0.00","304,058"
,000080,하이트진로,"21,800","-100","-0.5","21,950","22,400","21,700","187,494","4,144,418,250","1,528,912,719,800","0.08","70,133,611"
,000087,하이트진로2우B,"17,900","-100","-0.6","18,000","18,150","17,900","485","8,721,850","20,229,470,200","0.00","1,130,138"
,000100,유한양행,"217,000","3,500","1.6","217,000","222,000","216,000","58,984","12,913,939,500","2,649,429,818,000","0.14","12,209,354"
,000105,유한양행우,"192,500","6,500","3.5","189,000","192,500","189,000","83","15,808,500","45,466,190,000","0.00","236,188"
,000120,CJ대한통운,"137,500","-3,000","-2.1","141,000","142,500","137,500","58,335","8,157,051,000","3,136,697,300,000","0.17","22,812,344"
,000140,하이트진로홀딩스,"9,960","20","0.2","9,940","10,100","9,910","16,889","168,816,370","231,139,379,400","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,400","0","0.0","9,390","9,400","9,250","213","1,986,480","4,425,614,000","0.00","470,810"
,000150,두산,"105,500","-2,000","-1.9","108,500","109,000","105,500","61,861","6,613,451,500","2,025,389,316,500","0.11","19,198,003"
,000155,두산우,"71,800","-200","-0.3","72,000","72,400","70,900","2,852","203,561,900","316,715,113,200","0.02","4,411,074"
,000157,두산2우B,"70,500","-600","-0.8","71,100","71,900","70,500","118","8,346,400","69,490,792,500","0.00","985,685"
,000180,성창기업지주,"2,855","60","2.2","2,800","2,935","2,800","318,455","918,194,825","199,140,818,000","0.01","69,751,600"
,000210,대림산업,"76,000","-900","-1.2","78,300","78,300","75,900","309,458","23,798,893,000","2,644,800,000,000","0.14","34,800,000"
,000215,대림산업우,"30,500","-250","-0.8","30,800","30,850","30,450","5,192","159,009,150","115,900,000,000","0.01","3,800,000"
,000220,유유제약,"15,350","1,900","14.1","13,700","16,850","13,600","3,510,268","55,373,290,500","97,757,810,450","0.01","6,368,587"
,000225,유유제약1우,"7,300","270","3.8","7,190","7,980","7,050","337,435","2,556,002,650","8,274,294,500","0.00","1,133,465"
,000227,유유제약2우B,"21,400","1,500","7.5","20,150","23,800","19,550","159,347","3,480,236,200","3,511,312,000","0.00","164,080"
,000230,일동홀딩스,"15,250","0","0.0","15,300","15,700","15,200","14,589","225,148,600","159,977,014,000","0.01","10,490,296"
,000240,한국타이어월드와이드,"19,300","-650","-3.3","19,750","19,950","19,250","72,466","1,424,737,050","1,795,289,338,900","0.10","93,020,173"
,000250,삼천당제약,"34,350","600","1.8","35,650","38,450","34,150","1,130,455","41,109,207,450","759,334,676,550","0.04","22,105,813"
,000270,기아차,"34,050","-350","-1.0","34,350","34,650","33,700","1,378,801","47,190,536,213","13,802,621,965,350","0.74","405,363,347"
,000300,대유플러스,"697","2","0.3","697","706","690","265,278","184,863,514","61,420,006,622","0.00","88,120,526"
,000320,노루홀딩스,"16,100","-100","-0.6","16,450","16,450","16,000","8,890","143,884,650","213,987,531,100","0.01","13,291,151"
,000325,노루홀딩스우,"20,500","150","0.7","20,450","20,600","20,050","623","12,745,400","3,797,625,000","0.00","185,250"
,000370,한화손해보험,"8,350","-260","-3.0","8,650","8,720","8,350","239,781","2,038,621,670","974,769,940,250","0.05","116,738,915"
,000390,삼화페인트,"7,790","-80","-1.0","7,910","8,130","7,790","68,772","547,752,540","204,070,166,330","0.01","26,196,427"
,000400,롯데손해보험,"3,490","35","1.0","3,480","3,670","3,440","670,240","2,386,580,055","468,637,200,000","0.03","134,280,000"
,000430,대원강업,"4,345","5","0.1","4,365","4,455","4,315","118,860","519,421,350","269,390,000,000","0.01","62,000,000"
,000440,중앙에너비스,"31,850","2,750","9.4","29,800","32,350","29,350","3,547","109,800,200","39,666,818,100","0.00","1,245,426"
,000480,조선내화,"84,700","-100","-0.1","85,600","86,100","84,600","388","33,079,900","338,800,000,000","0.02","4,000,000"
,000490,대동공업,"8,690","-580","-6.3","9,300","9,500","8,690","170,883","1,546,575,090","206,198,144,900","0.01","23,728,210"
,000500,가온전선,"24,350","-300","-1.2","24,650","25,500","24,350","5,788","143,147,000","101,304,449,450","0.01","4,160,347"
,000520,삼일제약,"13,000","-1,650","-11.3","15,200","17,150","12,800","1,264,209","19,206,595,600","71,500,000,000","0.00","5,500,000"
,000540,흥국화재,"6,270","-70","-1.1","6,530","6,530","6,210","45,029","286,133,950","402,801,384,150","0.02","64,242,645"
,000545,흥국화재우,"5,690","120","2.2","5,690","5,720","5,520","6,409","35,646,510","4,369,920,000","0.00","768,000"
,000547,흥국화재2우B,"25,550","1,100","4.5","24,500","25,750","23,050","27,629","687,492,150","3,924,480,000","0.00","153,600"
,000590,CS홀딩스,"77,300","-1,300","-1.6","79,000","80,000","76,900","1,506","117,805,000","89,241,458,600","0.00","1,154,482"
,000640,동아쏘시오홀딩스,"136,000","-3,500","-2.5","140,000","140,500","136,000","19,626","2,713,342,000","834,799,008,000","0.04","6,138,228"
,000650,천일고속,"90,800","-400","-0.4","90,800","95,000","90,600","5,884","544,387,700","129,773,176,000","0.01","1,429,220"
,000660,SK하이닉스,"71,100","900","1.3","73,700","73,800","70,800","6,007,913","435,868,616,638","51,760,968,151,500","2.78","728,002,365"
,000670,영풍,"1,021,000","13,000","1.3","1,010,000","1,039,000","1,008,000","2,869","2,952,975,000","1,880,722,840,000","0.10","1,842,040"
,000680,LS네트웍스,"3,055","-30","-1.0","3,130","3,130","3,055","9,334","28,746,395","240,743,213,880","0.01","78,803,016"
,000700,유수홀딩스,"6,720","-200","-2.9","6,900","7,090","6,680","40,296","277,074,260","175,000,976,640","0.01","26,041,812"
,000720,현대건설,"41,000","-2,250","-5.2","44,200","44,250","40,750","669,259","28,291,614,950","4,565,586,365,000","0.25","111,355,765"
,000725,현대건설우,"49,300","0","0.0","50,300","50,400","48,650","424","21,169,550","4,873,600,800","0.00","98,856"
,000760,이화산업,"22,500","3,800","20.3","18,700","22,500","18,700","52,481","1,091,879,400","63,000,000,000","0.00","2,800,000"
,000810,삼성화재,"280,500","-9,000","-3.1","286,500","290,500","280,000","145,123","41,168,695,736","13,288,641,778,500","0.71","47,374,837"
,000815,삼성화재우,"193,500","0","0.0","196,000","196,500","191,500","5,832","1,125,849,500","617,652,000,000","0.03","3,192,000"
,000850,화천기공,"59,700","-1,700","-2.8","61,400","61,400","59,700","3,116","188,697,900","131,340,000,000","0.01","2,200,000"
