,종목코드,종목명,현재가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,시가총액비중(%),상장주식수
,000020,동화약품,"11,500","100","0.9","11,500","11,700","11,400","336,931","3,884,728,300","321,211,905,000","0.02","27,931,470"
,000030,우리은행,"15,450","0","0.0","15,500","15,750","15,150","2,556,464","39,303,469,650","10,444,200,000,000","0.55","676,000,000"
,000040,KR모터스,"561","17","3.1","542","568","541","272,164","151,345,311","67,185,173,187","0.00","119,759,667"
,000050,경방,"13,300","200","1.5","13,200","13,400","12,950","60,029","790,817,950","364,623,091,000","0.02","27,415,270"
,000060,메리츠화재,"22,000","100","0.5","21,800","22,000","21,350","541,324","11,658,625,700","2,427,436,000,000","0.13","110,338,000"
,000070,삼양홀딩스,"108,000","3,000","2.9","104,500","108,000","104,500","14,241","1,516,916,500","924,941,268,000","0.05","8,564,271"
,000075,삼양홀딩스우,"53,600","100","0.2","53,500","53,800","53,000","126","6,721,300","16,297,508,800","0.00","304,058"
,000080,하이트진로,"21,100","200","1.0","20,950","21,200","20,900","155,579","3,278,902,500","1,479,819,192,100","0.08","70,133,611"
,000087,하이트진로2우B,"17,100","-50","-0.3","17,150","17,150","17,100","95","1,628,050","19,325,359,800","0.00","1,130,138"
,000100,유한양행,"209,500","4,000","2.0","208,500","212,500","208,000","54,039","11,338,531,500","2,557,859,663,000","0.13","12,209,354"
,000105,유한양행우,"184,000","2,000","1.1","179,000","184,500","178,500","36","6,474,000","43,458,592,000","0.00","236,188"
,000120,CJ대한통운,"122,000","-2,000","-1.6","123,500","124,500","119,500","143,355","17,347,606,750","2,783,105,968,000","0.15","22,812,344"
,000140,하이트진로홀딩스,"9,360","30","0.3","9,340","9,360","9,210","5,744","53,314,360","217,215,320,400","0.01","23,206,765"
,000145,하이트진로홀딩스우,"9,200","-60","-0.6","9,200","9,200","9,070","56","509,480","4,331,452,000","0.00","470,810"
,000150,두산,"97,800","2,400","2.5","96,000","97,800","95,100","70,945","6,848,871,100","1,877,564,693,400","0.10","19,198,003"
,000155,두산우,"71,500","100","0.1","71,600","71,900","70,900","701","50,007,100","315,391,791,000","0.02","4,411,074"
,000157,두산2우B,"70,900","-200","-0.3","71,200","71,200","70,000","279","19,600,900","69,885,066,500","0.00","985,685"
